decade,concept,align,concept_hits,sentiment_raw,sentiment_delta,unemployment_raw,unemployment_delta,health_raw,health_delta,privacy_raw,privacy_delta,childhood_raw,childhood_delta,information_raw,information_delta,tech_companies_raw,tech_companies_delta
1980,nuclear,anchors:50000,12,-0.156165272,-0.151432402,0.4115961194038391,0.22665511071681976,0.6109911203384399,0.3967479318380356,0.48333433270454407,0.250654936,0.2982725501060486,0.082163423,0.3971385955810547,0.16744591295719147,0.41832974553108215,0.2025056779384613
1990,nuclear,anchors:50000,12,-0.150591761,-0.134689759,0.3001742362976074,0.12181265652179718,0.4971465468406677,0.28718726336956024,0.4173959493637085,0.19287046790122986,0.22583332657814026,0.024230257,0.34276869893074036,0.11649404466152191,0.29848045110702515,0.089905381
2000,nuclear,reference,12,-0.16963622,-0.166243649,0.27372023463249207,0.1084732711315155,0.4449673891067505,0.24980859458446503,0.3881615400314331,0.18556185066699982,0.22529643774032593,0.034991965,0.33515122532844543,0.12609004974365234,0.30063584446907043,0.10852795839309692
2010,nuclear,anchors:50000,12,-0.189501137,-0.186924905,0.26043838262557983,0.096673176,0.46117934584617615,0.25680680572986603,0.33669066429138184,0.1310441792011261,0.21992149949073792,0.035724074,0.3054889738559723,0.10249938070774078,0.2796918749809265,0.084079981
1900,phone_social,anchors:28374,6,0.072852194,0.075182117,0.56294024,0.2880241870880127,0.6004294157028198,0.266671747,0.6398705840110779,0.26506561040878296,0.520042896,0.2000257968902588,0.6226062178611755,0.2658501863479614,0.585378885,0.30602267384529114
1910,phone_social,anchors:32789,7,0.090220831,0.09298586,0.5057166814804077,0.273154616,0.527213991,0.2556106746196747,0.5767329335212708,0.2808630168437958,0.4869476854801178,0.22582221031188965,0.5133737921714783,0.2364545464515686,0.4800022542476654,0.24868261814117432
1920,phone_social,anchors:37738,8,0.11509119719266891,0.12264504097402096,0.4269495904445648,0.22507217526435852,0.4647459089756012,0.21581432223320007,0.5348671078681946,0.26290956139564514,0.4870671331882477,0.2463560551404953,0.4847462475299835,0.23805935680866241,0.5272406935691833,0.2997600734233856
1930,phone_social,anchors:41609,8,0.059490331,0.061492487,0.4258755147457123,0.22596952319145203,0.4434448480606079,0.20867644250392914,0.516423225,0.25920769572257996,0.4230581521987915,0.1905369907617569,0.4612010717391968,0.22304055094718933,0.5526028275489807,0.3259511739015579
1940,phone_social,anchors:44918,8,0.090843156,0.09595236,0.4416813552379608,0.24143774807453156,0.4575098752975464,0.22704185545444489,0.48233234882354736,0.24633078277111053,0.4165203869342804,0.19799134135246277,0.45757123827934265,0.22734734416007996,0.5337986946105957,0.31327393651008606
1950,phone_social,anchors:48333,8,0.056293719,0.060542086,0.4476942718029022,0.25137805938720703,0.42464637756347656,0.1998201608657837,0.506188691,0.2683587074279785,0.44729354977607727,0.22614037990570068,0.4706868827342987,0.2397068589925766,0.5040333271026611,0.2934305965900421
1960,phone_social,anchors:50000,8,0.069310017,0.073823987,0.44761911034584045,0.25777745246887207,0.45720866322517395,0.23656323552131653,0.5248532891273499,0.294291615,0.4626815617084503,0.24691388,0.4608120918273926,0.22320105135440826,0.518348217,0.3083823174238205
1970,phone_social,anchors:50000,9,0.001047897,0.0045922,0.44170618057250977,0.254899725,0.4814297556877136,0.2652444988489151,0.567915678,0.34234657883644104,0.456807017,0.23775631189346313,0.5228418111801147,0.2917785346508026,0.552007794,0.342488557
1980,phone_social,anchors:50000,9,-7.98E-05,0.004653064,0.42278435826301575,0.2378433495759964,0.46921128034591675,0.2549680918455124,0.5873839855194092,0.3547045886516571,0.45594292879104614,0.239833802,0.4983804523944855,0.26868776977062225,0.5381696224212646,0.3223455548286438
1990,phone_social,anchors:50000,14,0.045586824,0.061488826,0.3802965581417084,0.20193497836589813,0.4323066174983978,0.22234733402729034,0.5830855369567871,0.35856005549430847,0.4123113453388214,0.21070827543735504,0.42387986183166504,0.1976052075624466,0.5297448039054871,0.32116973400115967
